"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Abrams, CJ",682928,2024,188,18.6,6.4,0.349,0.372,42.8,7.2,39.9,100.017918529,94.271858382,22.8,54.1
"Castellanos, Nick",592206,2024,197,23.4,7.6,0.262,0.291,35.1,6.7,35.8,98.318120896,93.286309925,34.5,58
"De La Cruz, Elly",682829,2024,193,32.6,11.4,0.365,0.347,36.2,12.4,49.5,103.064903077,96.311013398,35.7,43.1
"Rosario, Amed",642708,2024,152,16.4,2,0.323,0.282,33.1,5.6,37.1,98.672721774,93.336360887,21.3,57.4
"Tucker, Kyle",663656,2024,205,17.1,18,0.444,0.434,43.2,15.2,49.2,101.104697879,95.390023636,19.9,39.9
"Happ, Ian",664023,2024,186,28,13.4,0.291,0.297,29,8.4,37.4,100.709906415,94.579852075,27.9,46.6
"Torkelson, Spencer",679529,2024,190,22.6,6.8,0.291,0.261,26.2,3.8,40,100.182991846,94.179633308,25.4,45.3
"Bichette, Bo",666182,2024,176,15.3,6.3,0.259,0.294,24.4,3,46.7,100.946209412,94.983726074,18.3,57.6
"Profar, Jurickson",595777,2024,187,14.4,12.8,0.414,0.372,40,6.7,40.7,100.156663333,94.362549318,18.8,45.9
"Rodríguez, Julio",677594,2024,199,28.6,5.5,0.296,0.319,34.9,7,49.6,103.537178154,96.499487442,31.4,54
"Suárez, Eugenio",553993,2024,186,27.4,6.5,0.270,0.282,39.8,5.1,32.2,98.146904237,93.108746102,30.6,45.4
"Chourio, Jackson",694192,2024,148,27.7,6.1,0.277,0.277,28.6,6.1,39.8,98.796922857,93.635372371,29.7,51.2
"Estrada, Thairo",642731,2024,184,18.5,2.7,0.304,0.272,25.7,6.3,35.4,97.865593194,92.9515725,18.5,50.2
"Steer, Spencer",668715,2024,190,16.8,12.6,0.321,0.336,33.1,6.2,41.5,99.29005,93.868556744,19.3,43.4
"Kim, Ha-Seong",673490,2024,195,17.4,13.8,0.308,0.321,39.8,6,33.1,98.066215606,93.140895573,18.1,37.4
"Santana, Carlos",467793,2024,170,19.4,6.5,0.276,0.311,31.7,8.1,43.1,99.68600871,94.371540732,26.3,44.8
"Triolo, Jared",669707,2024,172,25,11,0.261,0.298,40.9,3.6,37.3,98.888388909,93.670486545,27.2,48
"Alvarez, Yordan",670541,2024,200,18,9,0.332,0.377,32.2,12.6,46.9,103.691980282,96.379963239,20.4,47.1
"Busch, Michael",683737,2024,170,35.3,11.2,0.343,0.331,42.2,13.3,36.7,99.654437333,94.137591685,33.3,46.1
"Haniger, Mitch",571745,2024,173,27.7,8.7,0.290,0.313,34.5,9.1,47.3,100.419720182,94.930832545,28.5,41.5
"Torres, Gleyber",650402,2024,199,24.6,8.5,0.273,0.275,33.6,4.6,32.1,97.721246923,92.986332923,27.4,46.7
"Merrill, Jackson",701538,2024,161,16.8,6.8,0.322,0.344,34.1,8.1,46.3,101.017529672,94.976581721,19,53.3
"Guerrero Jr., Vladimir",665489,2024,197,19.8,12.2,0.346,0.381,30.1,12.8,59.4,107.388230455,98.81564803,24.3,45.6
"Goldschmidt, Paul",502671,2024,195,32.3,9.2,0.274,0.301,37.3,5.5,44.5,100.776641636,95.147383545,31.2,45.7
"Betts, Mookie",605141,2024,223,9.4,14.8,0.431,0.400,44.4,4.7,42,99.159068824,93.961739172,13.1,37.2
"Neto, Zach",687263,2024,172,27.3,6.4,0.313,0.306,33.6,9.7,33.6,99.48461625,93.829422946,28.5,53.5
"Harris II, Michael",671739,2024,176,22.2,5.1,0.297,0.306,29.1,4.7,45.7,102.941233333,96.02553627,27.8,60.8
"Winn, Masyn",691026,2024,146,18.5,8.9,0.317,0.293,39.6,0.9,25.5,96.944967451,92.485638431,16.4,46.1
"Witt Jr., Bobby",677951,2024,208,16.8,8.2,0.370,0.415,35.7,15.6,52.9,104.448361558,97.028257451,24.2,51
"Arozarena, Randy",668227,2024,199,29.6,10.6,0.260,0.287,24.6,7.6,39.8,100.212921864,94.322456186,34.3,42.2
"Taveras, Leody",665750,2024,168,16.7,9.5,0.305,0.309,33.9,3.2,37.1,99.268543607,93.730323934,23.7,47.9
"Ramírez, José",608070,2024,202,10.9,6.4,0.335,0.298,33.1,7.8,35.5,98.98845253,93.720925818,15.1,50.7
"Lindor, Francisco",596019,2024,205,15.6,7.3,0.281,0.342,28.1,8.5,42.5,99.471076053,94.074575724,23,47.9
"Marte, Starling",516782,2024,185,22.2,5.9,0.308,0.338,37.4,7.6,45.8,101.815412813,95.265556142,28.7,50.4
"Carroll, Corbin",682998,2024,196,17.9,10.2,0.256,0.305,26.6,5,32.4,99.452877681,93.729030145,19.6,45
"Santander, Anthony",623993,2024,176,17,7.4,0.315,0.295,32.8,6.3,34.4,98.968388281,93.538497874,19,53.4
"Ozuna, Marcell",542303,2024,176,23.3,11.4,0.430,0.445,44.3,16.5,53.9,102.917246034,96.49639887,32,48.7
"Henderson, Gunnar",683002,2024,198,24.2,8.6,0.402,0.384,32.8,14.1,57,104.15060875,97.158124375,26.2,45.9
"Díaz, Elias",553869,2024,149,18.1,4.7,0.335,0.281,35.7,4.5,30.4,97.8281725,92.986719279,28.7,55.6
"Suwinski, Jack",669261,2024,152,25,11.2,0.251,0.282,25.8,6.2,36.1,100.619287917,94.315540625,24.1,47.9
"Giménez, Andrés",665926,2024,194,12.9,5.2,0.323,0.319,34.2,3.9,25,95.571835541,91.812950068,22.9,55.5
"Turang, Brice",668930,2024,169,14.2,7.7,0.355,0.308,34.4,2.3,31.3,97.132178065,92.74929,12.3,46.1
"De La Cruz, Bryan",650559,2024,208,26.4,6.7,0.330,0.347,34.5,11.5,40.3,99.726883286,93.988231367,32.1,52.2
"Gurriel Jr., Lourdes",666971,2024,190,18.9,5.8,0.291,0.300,33.1,6.3,41.5,99.691910563,93.967170282,20.4,50.4
